FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
370298,QC,20201080086, ,46.21,-73.69,2020,4,28,4/28/2020 0:00,,4/28/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080086, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370299,QC,20201080087, ,45.66,-74.41,2020,5,5,5/5/2020 0:00,,5/5/2020 0:00,2020-2029,0.8,H,intensive, , ,QC-2020-20201080087, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370300,QC,20201080088, ,45.72,-74.45,2020,5,5,5/5/2020 0:00,,5/5/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080088, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370301,QC,20201080089, ,45.58,-75.59,2020,5,6,5/6/2020 0:00,,5/7/2020 0:00,2020-2029,3.600000000000000,H,intensive, , ,QC-2020-20201080089, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370302,QC,20201080090, ,45.89,-76.43,2020,5,6,5/6/2020 0:00,,5/6/2020 0:00,2020-2029,0.7,H,intensive, , ,QC-2020-20201080090, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370303,QC,20201080091, ,45.87,-74.12,2020,5,6,5/6/2020 0:00,,5/6/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080091, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370304,QC,20201080092, ,46.02,-74.25,2020,5,6,5/6/2020 0:00,,5/6/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080092, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370305,QC,20201080093, ,45.66,-72.43,2020,4,29,4/29/2020 0:00,,4/29/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080093, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370306,QC,20201080094, ,46.29,-73.52,2020,5,6,5/6/2020 0:00,,5/6/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080094, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370307,QC,20201080095, ,46.18,-74.79,2020,5,8,5/8/2020 0:00,,5/8/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080095, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370308,QC,20201080096, ,45.27,-72.65,2020,5,7,5/7/2020 0:00,,5/7/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080096, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370309,QC,20201080097, ,46.60,-72.48,2020,5,6,5/6/2020 0:00,,5/6/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080097, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370310,QC,20201080098, ,46.48,-72.73,2020,5,7,5/7/2020 0:00,,5/7/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080098, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370311,QC,20201080099, ,46.03,-74.59,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080099, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370312,QC,20201080100, ,45.55,-73.24,2020,5,7,5/7/2020 0:00,,5/7/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080100, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370313,QC,20201080101, ,45.64,-75.10,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080101, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370314,QC,20201080102, ,45.45,-72.07,2020,5,7,5/7/2020 0:00,,5/7/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080102, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370315,QC,20201080103, ,45.53,-74.27,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,0.7,H,intensive, , ,QC-2020-20201080103, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370316,QC,20201080104, ,46.20,-75.09,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080104, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370317,QC,20201080105, ,48.30,-65.58,2020,5,9,5/9/2020 0:00,,5/10/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080105, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370318,QC,20201080106, ,45.76,-72.74,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,3.000000000000000,H,intensive, , ,QC-2020-20201080106, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370319,QC,20201080107, ,45.74,-75.05,2020,5,10,5/10/2020 0:00,,5/10/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080107, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370320,QC,20201080108, ,45.60,-75.64,2020,5,10,5/10/2020 0:00,,5/10/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080108, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370321,QC,20201080109, ,45.56,-75.60,2020,5,11,5/11/2020 0:00,,5/11/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080109, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370322,QC,20201080110, ,45.14,-72.36,2020,4,18,4/18/2020 0:00,,4/18/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080110, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370323,QC,20201080111, ,46.34,-73.59,2020,5,10,5/10/2020 0:00,,5/10/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080111, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370324,QC,20201080112, ,48.40,-64.53,2020,5,11,5/11/2020 0:00,,5/11/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080112, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370325,QC,20201080113, ,45.67,-75.52,2020,5,11,5/11/2020 0:00,,5/11/2020 0:00,2020-2029,0.9,H,intensive, , ,QC-2020-20201080113, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370326,QC,20201080114, ,46.14,-75.54,2020,5,11,5/11/2020 0:00,,5/14/2020 0:00,2020-2029,3.500000000000000,H,intensive, , ,QC-2020-20201080114, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370327,QC,20201080115, ,45.45,-75.78,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.7,H,intensive, , ,QC-2020-20201080115, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370328,QC,20201080116, ,45.72,-74.28,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.4,H,intensive, , ,QC-2020-20201080116, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370329,QC,20201080117, ,45.82,-73.98,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.9,H,intensive, , ,QC-2020-20201080117, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370330,QC,20201080118, ,46.33,-75.98,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080118, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370331,QC,20201080119, ,47.51,-72.79,2020,5,9,5/9/2020 0:00,,5/9/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080119, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370332,QC,20201080120, ,45.70,-74.47,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,1.200000000000000,H,intensive, , ,QC-2020-20201080120, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370333,QC,20201080121, ,45.69,-75.01,2020,5,12,5/12/2020 0:00,,5/13/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080121, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370334,QC,20201080122, ,45.60,-75.72,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080122, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370335,QC,20201080123, ,45.87,-74.31,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.4,H,intensive, , ,QC-2020-20201080123, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370336,QC,20201080124, ,46.18,-76.86,2020,5,13,5/13/2020 0:00,,5/14/2020 0:00,2020-2029,3.400000000000000,H,intensive, , ,QC-2020-20201080124, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370337,QC,20201080125, ,49.08,-68.46,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080125, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370338,QC,20201080126, ,46.06,-73.73,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080126, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370339,QC,20201080127, ,48.91,-72.16,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080127, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370340,QC,20201080128, ,46.00,-73.72,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080128, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370341,QC,20201080129, ,45.96,-73.70,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080129, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370342,QC,20201080130, ,45.77,-74.60,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080130, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370343,QC,20201080131, ,45.89,-74.04,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080131, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370344,QC,20201080132, ,46.51,-72.71,2020,5,13,5/13/2020 0:00,,5/14/2020 0:00,2020-2029,2.100000000000000,H,intensive, , ,QC-2020-20201080132, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370345,QC,20201080133, ,45.79,-73.98,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080133, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370346,QC,20201080134, ,46.03,-73.67,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080134, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370347,QC,20201080135, ,45.64,-75.14,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,1.200000000000000,H,intensive, , ,QC-2020-20201080135, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370348,QC,20201080136, ,45.22,-73.70,2020,5,13,5/13/2020 0:00,,5/14/2020 0:00,2020-2029,2.400000000000000,H,intensive, , ,QC-2020-20201080136, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370349,QC,20201080137, ,47.06,-70.81,2020,5,13,5/13/2020 0:00,,5/14/2020 0:00,2020-2029,2.600000000000000,H,intensive, , ,QC-2020-20201080137, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370350,QC,20201080138, ,46.12,-76.09,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.6,H,intensive, , ,QC-2020-20201080138, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370351,QC,20201080139, ,45.22,-72.70,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,3.500000000000000,H,intensive, , ,QC-2020-20201080139, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370352,QC,20201080140, ,46.36,-73.01,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080140, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370353,QC,20201080141, ,46.32,-73.56,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080141, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370354,QC,20201080142, ,46.94,-71.07,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080142, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370355,QC,20201080143, ,45.74,-75.11,2020,5,14,5/14/2020 0:00,,5/17/2020 0:00,2020-2029,8.900000000000000,H,intensive, , ,QC-2020-20201080143, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370356,QC,20201080144, ,45.70,-74.42,2020,5,14,5/14/2020 0:00,,5/18/2020 0:00,2020-2029,14.300000000000001,H,intensive, , ,QC-2020-20201080144, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370357,QC,20201080145, ,46.13,-74.70,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080145, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370358,QC,20201080146, ,46.13,-75.68,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080146, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370359,QC,20201080147, ,46.01,-74.19,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080147, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370360,QC,20201080148, ,46.29,-72.06,2020,5,12,5/12/2020 0:00,,5/13/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080148, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370361,QC,20201080149, ,46.07,-74.84,2020,5,14,5/14/2020 0:00,,5/15/2020 0:00,2020-2029,1.500000000000000,H,intensive, , ,QC-2020-20201080149, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370362,QC,20201080150, ,45.57,-75.41,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.4,H,intensive, , ,QC-2020-20201080150, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370363,QC,20201080151, ,45.65,-75.84,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080151, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370364,QC,20201080152, ,47.40,-72.78,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080152, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370365,QC,20201080153, ,46.59,-72.64,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.7,H,intensive, , ,QC-2020-20201080153, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370366,QC,20201080154, ,46.96,-71.35,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080154, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370367,QC,20201080155, ,46.21,-72.33,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.4,H,intensive, , ,QC-2020-20201080155, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370368,QC,20201080156, ,46.49,-73.12,2020,5,12,5/12/2020 0:00,,5/12/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080156, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370369,QC,20201080157, ,45.81,-73.52,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.5,H,intensive, , ,QC-2020-20201080157, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370370,QC,20201080158, ,46.40,-73.76,2020,5,14,5/14/2020 0:00,,5/15/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080158, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370371,QC,20201080159, ,45.36,-72.62,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.4,H,intensive, , ,QC-2020-20201080159, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370372,QC,20201080160, ,48.72,-67.40,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080160, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370373,QC,20201080161, ,45.56,-73.18,2020,5,14,5/14/2020 0:00,,5/15/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080161, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370374,QC,20201080162, ,46.99,-71.75,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.1,H,intensive, , ,QC-2020-20201080162, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370375,QC,20201080163, ,46.41,-72.60,2020,5,14,5/14/2020 0:00,,5/14/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080163, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370376,QC,20201080164, ,45.55,-75.57,2020,4,26,4/26/2020 0:00,,4/26/2020 0:00,2020-2029,0.6,H,intensive, , ,QC-2020-20201080164, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370377,QC,20201080165, ,48.01,-66.75,2020,5,15,5/15/2020 0:00,,5/15/2020 0:00,2020-2029,0,H,intensive, , ,QC-2020-20201080165, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370378,QC,20201080166, ,48.41,-64.42,2020,5,15,5/15/2020 0:00,,5/15/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080166, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
370379,QC,20201080167, ,46.93,-72.29,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.2,H,intensive, , ,QC-2020-20201080167, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370380,QC,20201080168, ,51.26,-69.18,2020,5,16,5/16/2020 0:00,,5/17/2020 0:00,2020-2029,5.200000000000000,H,intensive, , ,QC-2020-20201080168, , ,4/15/2021 0:00,QC,6,6b,Boreal Shield East,Bouclier bordal
370381,QC,20201080169, ,45.26,-74.10,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,0.8,H,intensive, , ,QC-2020-20201080169, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370382,QC,20201080170, ,46.49,-72.29,2020,5,14,5/14/2020 0:00,,5/15/2020 0:00,2020-2029,0.3,H,intensive, , ,QC-2020-20201080170, , ,4/15/2021 0:00,QC,8,8,MixedWood Plain,Plaines d forits mixtes
370383,QC,20201080171, ,45.38,-72.48,2020,5,13,5/13/2020 0:00,,5/13/2020 0:00,2020-2029,1.400000000000000,H,intensive, , ,QC-2020-20201080171, , ,4/15/2021 0:00,QC,7,7,Atlantic Maritime,Maritime de l'Atlantique
